Organisation;Basis_URL;Gesamt_Kriterien;Erfüllte_Kriterien;Erfüllungsgrad_Prozent;Durchschnittliche_Konfidenz;Katalog;Strategie;Bewertungsdatum
Albert-Ludwigs-Universität Freiburg im Breisgau;https://www.uni-freiburg.de/;23;4;17.4%;0.09;hochschulen;intelligent;2025-07-08 21:33:05
Augustana-Hochschule Neuendettelsau;https://augustana.de/start.html;23;12;52.2%;0.28;hochschulen;intelligent;2025-07-08 21:33:05
Bard College Berlin, A Liberal Arts University;http://www.berlin.bard.edu/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Bauhaus-Universität Weimar;https://www.uni-weimar.de/;23;12;52.2%;0.26;hochschulen;intelligent;2025-07-08 21:33:05
Bergische Universität Wuppertal;http://www.uni-wuppertal.de/;23;14;60.9%;0.35;hochschulen;intelligent;2025-07-08 21:33:05
Brandenburgische Technische Universität Cottbus-Senftenberg;https://www.b-tu.de/;23;9;39.1%;0.21;hochschulen;intelligent;2025-07-08 21:33:05
Bucerius Law School;https://www.law-school.de/;23;9;39.1%;0.20;hochschulen;intelligent;2025-07-08 21:33:05
Carl von Ossietzky Universität Oldenburg;https://uol.de/;23;16;69.6%;0.37;hochschulen;intelligent;2025-07-08 21:33:05
Christian-Albrechts-Universität zu Kiel;https://www.uni-kiel.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Constructor University;https://constructor.university//;23;10;43.5%;0.22;hochschulen;intelligent;2025-07-08 21:33:05
Deutsche Sporthochschule Köln;https://www.dshs-koeln.de/;23;11;47.8%;0.25;hochschulen;intelligent;2025-07-08 21:33:05
Deutsche Universität für Verwaltungswissenschaften Speyer;http://www.uni-speyer.de/;23;12;52.2%;0.29;hochschulen;intelligent;2025-07-08 21:33:05
DIU – Dresden International University GmbH;https://www.di-uni.de/;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
Eberhard Karls Universität Tübingen;https://uni-tuebingen.de/;23;17;73.9%;0.42;hochschulen;intelligent;2025-07-08 21:33:05
EBS Universität für Wirtschaft und Recht;https://www.ebs.edu/;23;11;47.8%;0.24;hochschulen;intelligent;2025-07-08 21:33:05
École supérieure de commerce de Paris;http://www.escp.eu/de/;23;8;34.8%;0.17;hochschulen;intelligent;2025-07-08 21:33:05
ESMT European School of Management and Technology;https://esmt.berlin/;23;9;39.1%;0.20;hochschulen;intelligent;2025-07-08 21:33:05
Europa-Universität Flensburg;https://www.uni-flensburg.de/;23;14;60.9%;0.32;hochschulen;intelligent;2025-07-08 21:33:05
Europa-Universität Viadrina Frankfurt (Oder);https://www.europa-uni.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Fernuniversität in Hagen;https://www.fernuni-hagen.de/;23;13;56.5%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Frankfurt School of Finance & Management;http://www.frankfurt-school.de/;23;11;47.8%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
Freie Hochschule Stuttgart – Seminar für Waldorfpädagogik;https://www.freie-hochschule-stuttgart.de/de/;23;9;39.1%;0.21;hochschulen;intelligent;2025-07-08 21:33:05
Freie Universität Berlin;https://www.fu-berlin.de/;23;15;65.2%;0.34;hochschulen;intelligent;2025-07-08 21:33:05
Friedrich-Alexander-Universität Erlangen-Nürnberg;https://fau.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Friedrich-Schiller-Universität Jena;https://www.uni-jena.de/;23;14;60.9%;0.32;hochschulen;intelligent;2025-07-08 21:33:05
Georg-August-Universität Göttingen;https://www.uni-goettingen.de/;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
German University of Digital Science (German UDS);https://german-uds.de;23;8;34.8%;0.18;hochschulen;intelligent;2025-07-08 21:33:05
Gottfried Wilhelm Leibniz Universität Hannover;https://www.uni-hannover.de/;23;12;52.2%;0.27;hochschulen;intelligent;2025-07-08 21:33:05
HafenCity Universität Hamburg;https://www.hcu-hamburg.de/;23;14;60.9%;0.32;hochschulen;intelligent;2025-07-08 21:33:05
Heinrich-Heine-Universität Düsseldorf;https://www.hhu.de/;23;10;43.5%;0.24;hochschulen;intelligent;2025-07-08 21:33:05
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg;https://www.hsu-hh.de/;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
Hertie School;https://www.hertie-school.org;23;8;34.8%;0.18;hochschulen;intelligent;2025-07-08 21:33:05
HHL Leipzig Graduate School of Management;http://www.hhl.de/;23;8;34.8%;0.19;hochschulen;intelligent;2025-07-08 21:33:05
Hochschule für Jüdische Studien Heidelberg;http://www.hfjs.eu/;23;11;47.8%;0.25;hochschulen;intelligent;2025-07-08 21:33:05
Hochschule für Philosophie;https://www.hfph.de/;23;2;8.7%;0.04;hochschulen;intelligent;2025-07-08 21:33:05
Humboldt-Universität zu Berlin;https://www.hu-berlin.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
International Psychoanalytic University Berlin;https://www.ipu-berlin.de/;23;12;52.2%;0.26;hochschulen;intelligent;2025-07-08 21:33:05
Johann Wolfgang Goethe-Universität Frankfurt am Main;https://www.uni-frankfurt.de/;23;16;69.6%;0.37;hochschulen;intelligent;2025-07-08 21:33:05
Johannes Gutenberg-Universität Mainz;https://www.uni-mainz.de/;23;1;4.3%;0.02;hochschulen;intelligent;2025-07-08 21:33:05
Julius-Maximilians-Universität Würzburg;https://www.uni-wuerzburg.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Justus-Liebig-Universität Gießen;http://www.uni-giessen.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Karlsruher Institut für Technologie;https://www.kit.edu/;23;13;56.5%;0.30;hochschulen;intelligent;2025-07-08 21:33:05
Katholische Universität Eichstätt-Ingolstadt;https://www.ku.de/;23;14;60.9%;0.31;hochschulen;intelligent;2025-07-08 21:33:05
Kirchliche Hochschule Wuppertal/Bethel (Hochschule für Kirche und Diakonie);https://www.kiho-wuppertal.de/;23;4;17.4%;0.10;hochschulen;intelligent;2025-07-08 21:33:05
Kölner Hochschule für Katholische Theologie (KHKT);https://www.khkt.de/;23;10;43.5%;0.23;hochschulen;intelligent;2025-07-08 21:33:05
Kühne Logistics University – Wissenschaftliche Hochschule für Logistik und Unternehmensführung;https://www.klu.org/;23;6;26.1%;0.14;hochschulen;intelligent;2025-07-08 21:33:05
Leuphana Universität Lüneburg;http://www.leuphana.de/;23;14;60.9%;0.31;hochschulen;intelligent;2025-07-08 21:33:05
Ludwig-Maximilians-Universität München;https://www.lmu.de/;23;8;34.8%;0.18;hochschulen;intelligent;2025-07-08 21:33:05
Lutherische Theologische Hochschule Oberursel;https://lthh.de/;23;4;17.4%;0.10;hochschulen;intelligent;2025-07-08 21:33:05
Martin-Luther-Universität Halle-Wittenberg;https://www.uni-halle.de/;23;8;34.8%;0.17;hochschulen;intelligent;2025-07-08 21:33:05
Medizinische Hochschule Brandenburg Theodor Fontane;http://www.mhb-fontane.de/;23;15;65.2%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Medizinische Hochschule Hannover (MHH);https://www.mhh.de;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Otto-Friedrich-Universität Bamberg;https://www.uni-bamberg.de/;23;14;60.9%;0.34;hochschulen;intelligent;2025-07-08 21:33:05
Otto-von-Guericke-Universität Magdeburg;https://www.ovgu.de/;23;9;39.1%;0.20;hochschulen;intelligent;2025-07-08 21:33:05
Pädagogische Hochschule Freiburg;http://www.ph-freiburg.de/;23;0;0.0%;0.00;hochschulen;intelligent;2025-07-08 21:33:05
Pädagogische Hochschule Heidelberg;https://www.ph-heidelberg.de/;23;13;56.5%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
Pädagogische Hochschule Karlsruhe;http://www.ph-karlsruhe.de/;23;15;65.2%;0.39;hochschulen;intelligent;2025-07-08 21:33:05
Pädagogische Hochschule Ludwigsburg;http://www.ph-ludwigsburg.de/;23;14;60.9%;0.33;hochschulen;intelligent;2025-07-08 21:33:05
